# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​)
45.623,1.25E+04,15.552,9.736,491.495,0.633,491.496,12.938,4.67E+04,0,0.782,0.531,-56.5,161.301,0.056
45.673,1.25E+04,15.127,9.734,491.875,0.634,491.876,13.61,4.67E+04,0,0.753,0.533,-56.5,161.284,0.055
45.723,1.25E+04,14.706,9.733,492.255,0.635,492.255,14.334,4.67E+04,0,0.724,0.534,-56.5,161.268,0.053
45.773,1.25E+04,14.289,9.731,492.634,0.636,492.635,15.203,4.67E+04,0,0.698,0.536,-56.5,161.253,0.052
45.823,1.25E+04,13.877,9.73,493.014,0.637,493.014,15.853,4.67E+04,0,0.664,0.538,-56.5,161.238,0.051
45.873,1.25E+04,13.47,9.728,493.393,0.639,493.393,16.72,4.67E+04,0,0.634,0.54,-56.5,161.223,0.049
45.923,1.25E+04,13.068,9.726,493.771,0.64,493.772,17.692,4.67E+04,0,0.603,0.542,-56.5,161.21,0.048
45.973,1.25E+04,12.672,9.724,494.15,0.641,494.15,18.764,4.67E+04,0,0.573,0.544,-56.5,161.197,0.047
46.023,1.25E+04,12.282,9.723,494.528,0.642,494.529,19.749,4.67E+04,0,0.541,0.546,-56.5,161.184,0.046
46.073,1.25E+04,11.9,9.721,494.906,0.643,494.907,21.064,4.67E+04,0,0.512,0.547,-56.5,161.173,0.044
46.123,1.25E+04,11.526,9.718,495.284,0.645,495.284,22.835,4.67E+04,0,0.488,0.549,-56.5,161.161,0.044
46.173,1.25E+04,11.16,9.716,495.662,0.646,495.662,24.383,4.67E+04,0,0.459,0.55,-56.5,161.151,0.043
46.223,1.25E+04,10.803,9.714,496.039,0.647,496.039,25.816,4.67E+04,0,0.429,0.552,-56.5,161.141,0.042
46.273,1.25E+04,10.457,9.713,496.416,0.648,496.416,27.302,4.67E+04,0,0.398,0.554,-56.5,161.131,0.041
46.323,1.25E+04,10.123,9.711,496.793,0.65,496.793,28.88,4.67E+04,0,0.367,0.556,-56.5,161.123,0.04
46.373,1.25E+04,9.801,9.708,497.169,0.651,497.17,30.829,4.67E+04,0,0.34,0.557,-56.5,161.114,0.039
46.423,1.25E+04,9.493,9.706,497.545,0.652,497.546,32.699,4.67E+04,0,0.311,0.559,-56.5,161.107,0.038
46.473,1.25E+04,9.201,9.703,497.921,0.653,497.922,34.691,4.67E+04,0,0.284,0.56,-56.5,161.1,0.037
46.523,1.25E+04,8.925,9.7,498.297,0.655,498.297,36.759,4.67E+04,0,0.257,0.562,-56.5,161.094,0.037
46.573,1.25E+04,8.667,9.697,498.672,0.656,498.673,38.874,4.67E+04,0,0.23,0.563,-56.5,161.088,0.036
46.623,1.25E+04,8.43,9.693,499.047,0.657,499.048,41.18,4.67E+04,0,0.206,0.564,-56.5,161.083,0.036
46.673,1.25E+04,8.214,9.69,499.422,0.658,499.423,43.431,4.67E+04,0,0.182,0.565,-56.5,161.078,0.035
46.723,1.25E+04,8.022,9.713,499.797,0.659,499.797,45.743,4.67E+04,0,0.159,0.567,-56.5,161.074,0.035
46.773,1.25E+04,7.856,9.71,500.171,0.661,500.171,48.25,4.67E+04,0,0.138,0.567,-56.5,161.071,0.034
46.823,1.25E+04,7.718,9.709,500.545,0.662,500.545,50.687,4.67E+04,0,0.118,0.568,-56.5,161.068,0.034
46.873,1.25E+04,7.608,9.708,500.918,0.663,500.919,53.14,4.67E+04,0,0.099,0.569,-56.5,161.066,0.034
46.923,1.25E+04,7.527,9.706,501.292,0.664,501.292,55.724,4.67E+04,0,0.083,0.569,-56.5,161.065,0.034
46.973,1.25E+04,7.478,9.703,501.665,0.666,501.666,58.306,4.67E+04,0,0.068,0.569,-56.5,161.064,0.034
47.023,1.25E+04,7.459,9.7,502.038,0.667,502.039,60.876,4.67E+04,0,0.055,0.569,-56.5,161.064,0.034
47.073,1.25E+04,7.472,9.747,502.411,0.668,502.412,NaN,4.67E+04,0,5.477,13.028,-56.5,161.064,0.034
47.176,1.25E+04,7.594,9.736,503.175,0.671,503.176,NaN,4.67E+04,0,5.512,13.028,-56.5,161.067,0.034
47.278,1.25E+04,7.844,9.724,503.939,0.673,503.939,NaN,4.67E+04,0,5.475,13.028,-56.5,161.072,0.034
47.381,1.25E+04,8.208,9.712,504.703,0.676,504.703,NaN,4.67E+04,0,5.627,13.028,-56.5,161.08,0.034
47.484,1.25E+04,8.674,9.698,505.466,0.678,505.466,NaN,4.67E+04,0,6.007,13.028,-56.5,161.09,0.035
47.587,1.25E+04,9.224,9.682,506.229,0.681,506.229,NaN,4.67E+04,0,6.625,13.028,-56.5,161.103,0.037
47.691,1.25E+04,9.845,9.666,506.992,0.683,506.992,NaN,4.67E+04,0,7.222,13.028,-56.5,161.118,0.039
47.794,1.25E+04,10.524,9.647,507.755,0.686,507.756,NaN,4.67E+04,0,8.097,13.028,-56.5,161.137,0.041
47.898,1.25E+04,11.25,9.627,508.518,0.689,508.519,NaN,4.67E+04,0,8.891,13.028,-56.5,161.157,0.043
48.002,1.25E+04,12.016,9.604,509.282,0.691,509.282,NaN,4.67E+04,0,9.924,13.028,-56.5,161.181,0.045
48.106,1.25E+04,12.813,9.581,510.045,0.694,510.046,NaN,4.67E+04,0,10.798,13.028,-56.5,161.207,0.047
48.21,1.25E+04,13.637,9.556,510.809,0.696,510.809,NaN,4.67E+04,0,11.764,13.028,-56.5,161.236,0.049
48.315,1.25E+04,14.483,9.527,511.573,0.699,511.573,NaN,4.67E+04,0,13.073,13.028,-56.5,161.267,0.052
48.42,1.25E+04,15.347,9.496,512.337,0.702,512.338,NaN,4.67E+04,0,14.518,13.028,-56.5,161.301,0.055
48.525,1.25E+04,16.226,9.463,513.103,0.704,513.103,NaN,4.67E+04,0,15.986,13.028,-56.5,161.338,0.057
48.631,1.25E+04,17.118,9.427,513.869,0.707,513.869,NaN,4.67E+04,0,17.751,13.028,-56.5,161.378,0.061
48.737,1.25E+04,18.021,9.39,514.635,0.709,514.636,NaN,4.67E+04,0,19.394,13.028,-56.5,161.421,0.063
48.843,1.25E+04,18.933,9.349,515.403,0.712,515.403,NaN,4.67E+04,0,21.38,13.028,-56.5,161.466,0.066
48.95,1.25E+04,19.854,9.306,516.172,0.715,516.172,NaN,4.67E+04,0,23.387,13.028,-56.5,161.514,0.07
49.058,1.25E+04,20.781,9.261,516.941,0.717,516.942,NaN,4.67E+04,0,25.54,13.028,-56.5,161.565,0.073
49.166,1.25E+04,21.714,9.214,517.712,0.72,517.713,NaN,4.67E+04,0,27.711,13.028,-56.5,161.619,0.076
49.274,1.25E+04,22.652,9.165,518.484,0.723,518.485,NaN,4.67E+04,0,29.963,13.028,-56.5,161.676,0.079
49.383,1.25E+04,23.596,9.113,519.258,0.726,519.258,NaN,4.67E+04,0,32.372,13.028,-56.5,161.737,0.082
49.493,1.25E+04,24.543,9.059,520.032,0.728,520.033,NaN,4.67E+04,0,34.922,13.028,-56.5,161.8,0.085
49.603,1.25E+04,25.494,9.005,520.808,0.731,520.809,NaN,4.67E+04,0,37.291,13.028,-56.5,161.866,0.088
49.715,1.25E+04,26.448,8.946,521.586,0.734,521.586,NaN,4.67E+04,0,40.014,13.028,-56.5,161.936,0.091
49.826,1.25E+04,27.406,8.884,522.365,0.736,522.366,NaN,4.67E+04,0,42.966,13.028,-56.5,162.009,0.094
49.939,1.25E+04,28.366,8.82,523.146,0.739,523.147,NaN,4.67E+04,0,45.993,13.028,-56.5,162.085,0.097
50.052,1.25E+04,29.328,8.755,523.929,0.742,523.93,NaN,4.67E+04,0,48.979,13.028,-56.5,162.164,0.1
50.166,1.25E+04,30.293,8.685,524.714,0.745,524.715,NaN,4.67E+04,0,52.294,13.028,-56.5,162.247,0.104
50.282,1.25E+04,31.259,8.615,525.501,0.748,525.502,NaN,4.67E+04,0,55.547,13.028,-56.5,162.334,0.107
50.398,1.25E+04,32.227,8.542,526.291,0.751,526.291,NaN,4.67E+04,0,58.98,13.028,-56.5,162.424,0.11
50.515,1.25E+04,33.196,8.465,527.082,0.753,527.083,NaN,4.67E+04,0,62.59,13.028,-56.5,162.518,0.113
50.633,1.25E+04,34.167,8.388,527.876,0.756,527.877,NaN,4.67E+04,0,66.185,13.028,-56.5,162.615,0.117
50.752,1.25E+04,35.14,8.308,528.672,0.759,528.673,NaN,4.67E+04,0,69.8,13.028,-56.5,162.717,0.12
50.872,1.25E+04,36.113,8.225,529.471,0.762,529.472,NaN,4.67E+04,0,73.653,13.028,-56.5,162.822,0.123
50.994,1.25E+04,37.088,8.141,530.273,0.765,530.273,NaN,4.67E+04,0,77.539,13.028,-56.5,162.932,0.126
51.117,1.25E+04,38.064,8.052,531.077,0.768,531.078,NaN,4.67E+04,0,81.739,13.028,-56.5,163.046,0.129
51.241,1.25E+04,39.041,7.962,531.885,0.771,531.886,NaN,4.67E+04,0,85.898,13.028,-56.5,163.164,0.133
51.367,1.25E+04,40.018,7.868,532.696,0.774,532.697,NaN,4.67E+04,0,90.375,13.028,-56.5,163.286,0.136
51.494,1.24E+04,40.997,7.773,533.51,0.777,533.511,NaN,4.67E+04,0,94.804,13.028,-56.5,163.414,0.139
51.622,1.24E+04,41.976,7.675,534.328,0.78,534.329,NaN,4.67E+04,0,99.294,13.028,-56.5,163.546,0.142
51.753,1.24E+04,42.955,7.574,535.15,0.783,535.15,NaN,4.67E+04,0,104.083,13.028,-56.5,163.683,0.146
51.885,1.24E+04,43.936,7.47,535.975,0.786,535.976,NaN,4.67E+04,0,109.024,13.028,-56.5,163.825,0.149
52.019,1.24E+04,44.916,7.363,536.805,0.79,536.805,NaN,4.67E+04,0,114.088,13.028,-56.5,163.972,0.152
52.154,1.24E+04,45.897,7.254,537.638,0.793,537.639,NaN,4.67E+04,0,119.207,13.028,-56.5,164.125,0.156
52.292,1.24E+04,46.878,7.143,538.475,0.796,538.476,NaN,4.67E+04,0,124.49,13.028,-56.5,164.284,0.159
52.432,1.24E+04,47.86,7.03,539.317,0.799,539.318,NaN,4.67E+04,0,129.743,13.028,-56.5,164.449,0.162
52.575,1.24E+04,48.842,6.914,540.163,0.802,540.164,NaN,4.67E+04,0,135.101,13.028,-56.5,164.62,0.165
52.719,1.24E+04,49.824,6.795,541.013,0.806,541.014,NaN,4.67E+04,0,140.651,13.028,-56.5,164.797,0.169
52.866,1.24E+04,50.807,6.674,541.868,0.809,541.869,NaN,4.67E+04,0,146.25,13.028,-56.5,164.981,0.172
53.016,1.24E+04,51.79,6.549,542.728,0.812,542.729,NaN,4.67E+04,0,151.98,13.028,-56.5,165.176,0.175
53.169,1.24E+04,52.774,6.421,543.593,0.816,543.594,NaN,4.67E+04,0,158.132,13.028,-56.5,165.391,0.179
53.325,1.24E+04,53.757,6.291,544.464,0.819,544.465,NaN,4.67E+04,0,164.071,13.028,-56.5,165.615,0.182
53.484,1.24E+04,54.741,6.159,545.341,0.823,545.341,NaN,4.67E+04,0,170.132,13.028,-56.5,165.847,0.185
53.646,1.23E+04,55.726,6.022,546.223,0.826,546.224,NaN,4.67E+04,0,176.538,13.028,-56.5,166.089,0.188
53.812,1.23E+04,56.71,5.883,547.113,0.83,547.114,NaN,4.67E+04,0,183.124,13.028,-56.5,166.341,0.192
53.982,1.23E+04,57.695,5.74,548.01,0.834,548.011,NaN,4.67E+04,0,189.791,13.028,-56.5,166.603,0.195
54.156,1.23E+04,58.679,5.596,548.914,0.838,548.915,NaN,4.67E+04,0,196.42,13.028,-56.5,166.876,0.198
54.335,1.23E+04,59.664,5.447,549.826,0.841,549.827,NaN,4.67E+04,0,203.549,13.028,-56.5,167.162,0.202
54.518,1.23E+04,60.648,5.295,550.746,0.845,550.747,NaN,4.67E+04,0,210.778,13.028,-56.5,167.46,0.205
54.707,1.23E+04,61.632,5.14,551.674,0.849,551.675,NaN,4.67E+04,0,217.935,13.028,-56.5,167.772,0.208
54.902,1.23E+04,62.616,4.983,552.611,0.853,552.612,NaN,4.67E+04,0,225.409,13.028,-56.5,168.098,0.212
55.103,1.23E+04,63.6,4.821,553.556,0.857,553.557,NaN,4.67E+04,0,232.674,13.028,-56.5,168.44,0.215
55.31,1.22E+04,64.584,4.657,554.511,0.861,554.512,NaN,4.67E+04,0,240.581,13.028,-56.5,168.8,0.218
55.525,1.22E+04,65.567,4.488,555.476,0.866,555.477,NaN,4.67E+04,0,248.43,13.028,-56.5,169.177,0.221
55.748,1.22E+04,66.55,4.316,556.452,0.87,556.453,NaN,4.67E+04,0,256.325,13.028,-56.5,169.575,0.225
55.979,1.22E+04,67.534,4.14,557.439,0.874,557.44,NaN,4.67E+04,0,264.568,13.028,-56.5,169.995,0.228
56.221,1.22E+04,68.517,3.96,558.439,0.879,558.44,NaN,4.67E+04,0,272.957,13.028,-56.5,170.44,0.231
56.473,1.22E+04,69.499,3.777,559.452,0.884,559.453,NaN,4.67E+04,0,281.537,13.028,-56.5,170.911,0.234
56.738,1.21E+04,70.481,3.589,560.48,0.888,560.481,NaN,4.67E+04,0,290.404,13.028,-56.5,171.412,0.238
57.017,1.21E+04,71.462,3.396,561.524,0.893,561.525,NaN,4.67E+04,0,299.387,13.028,-56.5,171.947,0.241
57.311,1.21E+04,72.443,3.199,562.584,0.899,562.584,NaN,4.67E+04,0,308.625,13.028,-56.5,172.52,0.244
57.624,1.21E+04,73.422,2.996,563.661,0.904,563.662,NaN,4.67E+04,0,318.028,13.028,-56.5,173.137,0.248
57.957,1.21E+04,74.401,2.792,564.759,0.909,564.76,NaN,4.67E+04,0,327.969,13.028,-56.5,173.805,0.251
58.316,1.20E+04,75.376,2.575,565.875,0.915,565.876,NaN,4.67E+04,0,337.73,13.028,-56.5,174.531,0.254
58.704,1.20E+04,76.351,2.355,567.015,0.921,567.016,NaN,4.67E+04,0,348.018,13.028,-56.5,175.329,0.257
59.129,1.20E+04,77.325,2.132,568.183,0.928,568.184,NaN,4.67E+04,0,358.851,13.028,-56.5,176.212,0.261
59.598,1.19E+04,78.293,1.889,569.376,0.935,569.377,NaN,4.67E+04,0,369.606,13.028,-56.5,177.2,0.264
60.098,1.19E+04,79.209,1.657,570.542,0.942,570.543,NaN,4.67E+04,0,380.522,13.028,-56.5,178.267,0.267
60.598,1.19E+04,80.009,1.439,571.609,0.948,571.61,NaN,4.67E+04,0,390.595,13.028,-56.5,179.4,0.27
61.098,1.18E+04,80.701,1.255,572.583,0.955,572.583,NaN,4.67E+04,0,400.167,13.028,-56.5,180.577,0.272
61.598,1.18E+04,81.291,1.092,573.461,0.961,573.462,NaN,4.67E+04,0,408.847,13.028,-56.5,181.764,0.274
62.098,1.17E+04,81.79,0.932,574.236,0.967,574.236,NaN,4.67E+04,0,416.49,13.028,-56.5,182.959,0.276
62.598,1.17E+04,82.206,0.772,574.907,0.972,574.907,NaN,4.67E+04,0,423.272,13.028,-56.5,184.161,0.277
63.098,1.16E+04,82.55,0.664,575.484,0.977,575.485,NaN,4.67E+04,0,429.704,13.028,-56.5,185.368,0.278
63.598,1.16E+04,82.825,0.55,575.974,0.982,575.975,NaN,4.67E+04,0,435.315,13.028,-56.5,186.58,0.279
64.098,1.16E+04,83.04,0.445,576.375,0.987,576.376,NaN,4.67E+04,0,440.319,13.028,-56.5,187.796,0.28
64.598,1.15E+04,83.202,0.354,576.697,0.991,576.697,NaN,4.67E+04,0,444.809,13.028,-56.5,189.014,0.28
65.098,1.15E+04,83.315,0.287,576.946,0.995,576.947,NaN,4.67E+04,0,448.846,13.028,-56.5,190.234,0.281
65.598,1.14E+04,83.385,0.252,577.13,0.999,577.131,NaN,4.67E+04,0,452.475,13.028,-56.5,191.456,0.281
66.098,1.14E+04,83.416,0.215,577.253,1.003,577.254,NaN,4.67E+04,0,455.638,13.028,-56.5,192.679,0.281
66.598,1.14E+04,83.413,0.21,577.318,1.007,577.319,NaN,4.67E+04,0,458.573,13.028,-56.5,193.948,0.281
67.098,1.13E+04,83.379,0.272,577.331,1.01,577.332,NaN,4.67E+04,0,461.41,13.028,-56.5,195.27,0.281
67.598,1.13E+04,83.315,0.304,577.29,1.013,577.291,NaN,4.67E+04,0,463.83,13.028,-56.5,196.592,0.281
68.098,1.12E+04,83.226,0.29,577.188,1.016,577.189,NaN,4.67E+04,0,465.81,13.028,-56.5,197.913,0.28
68.598,1.12E+04,83.114,0.336,577.033,1.019,577.034,NaN,4.67E+04,0,467.704,13.028,-56.5,199.232,0.28
69.098,1.12E+04,82.983,0.353,576.828,1.021,576.829,NaN,4.67E+04,0,469.268,13.028,-56.5,200.549,0.279
69.598,1.11E+04,82.835,0.382,576.573,1.024,576.574,NaN,4.67E+04,0,470.668,13.028,-56.5,201.864,0.279
70.098,1.11E+04,82.673,0.383,576.269,1.026,576.27,NaN,4.67E+04,0,471.779,13.028,-56.5,203.177,0.278
70.598,1.10E+04,82.498,0.407,575.922,1.028,575.923,NaN,4.67E+04,0,472.818,13.028,-56.5,204.487,0.278
71.098,1.10E+04,82.312,0.419,575.536,1.03,575.537,NaN,4.67E+04,0,473.67,13.028,-56.5,205.793,0.277
71.598,1.09E+04,82.117,0.426,575.111,1.032,575.112,NaN,4.67E+04,0,474.375,13.028,-56.5,207.097,0.276
72.098,1.09E+04,81.914,0.434,574.652,1.034,574.653,NaN,4.67E+04,0,474.971,13.028,-56.5,208.398,0.276
72.598,1.09E+04,81.705,0.446,574.163,1.035,574.164,NaN,4.67E+04,0,475.573,13.028,-56.5,209.737,0.275
73.098,1.08E+04,81.489,0.453,573.646,1.037,573.647,NaN,4.67E+04,0,476.185,13.028,-56.5,211.137,0.274
73.598,1.08E+04,81.266,0.467,573.107,1.038,573.108,NaN,4.67E+04,0,476.73,13.028,-56.5,212.533,0.274
74.098,1.07E+04,81.038,0.478,572.545,1.039,572.546,NaN,4.67E+04,0,477.167,13.028,-56.5,213.926,0.273
74.598,1.07E+04,80.806,0.484,571.959,1.041,571.96,NaN,4.67E+04,0,477.498,13.028,-56.5,215.314,0.272
75.098,1.07E+04,80.57,0.489,571.347,1.042,571.348,NaN,4.67E+04,0,477.753,13.028,-56.5,216.699,0.271
75.598,1.06E+04,80.331,0.5,570.71,1.043,570.711,NaN,4.67E+04,0,477.975,13.028,-56.5,218.079,0.27
76.098,1.06E+04,80.091,0.495,570.045,1.043,570.046,NaN,4.67E+04,0,478.067,13.028,-56.5,219.456,0.27
76.598,1.05E+04,79.849,0.501,569.352,1.044,569.353,NaN,4.67E+04,0,478.167,13.028,-56.5,220.828,0.269
77.098,1.05E+04,79.606,0.496,568.632,1.045,568.633,NaN,4.67E+04,0,478.169,13.028,-56.5,222.196,0.268
77.598,1.05E+04,79.363,0.495,567.887,1.046,567.887,NaN,4.67E+04,0,478.158,13.028,-56.5,223.56,0.267
78.098,1.04E+04,79.121,0.496,567.119,1.046,567.12,NaN,4.67E+04,0,478.127,13.028,-56.5,224.919,0.266
78.598,1.04E+04,78.879,0.485,566.328,1.047,566.329,NaN,4.67E+04,0,478.013,13.028,-56.5,226.275,0.265
79.098,1.03E+04,78.637,0.475,565.522,1.047,565.523,NaN,4.67E+04,0,477.577,13.028,-56.26,227.717,0.265
79.598,1.03E+04,78.4,0.467,564.708,1.048,564.708,NaN,4.67E+04,0,477.149,13.028,-56.004,229.16,0.264
80.098,1.03E+04,78.168,0.457,563.886,1.048,563.887,NaN,4.67E+04,0,476.735,13.028,-55.75,230.599,0.263
80.598,1.02E+04,77.94,0.449,563.057,1.048,563.058,NaN,4.67E+04,0,476.35,13.028,-55.496,232.034,0.262
81.098,1.02E+04,77.716,0.444,562.223,1.049,562.224,NaN,4.67E+04,0,475.995,13.028,-55.244,233.465,0.261
81.598,1.01E+04,77.496,0.433,561.379,1.049,561.38,NaN,4.67E+04,0,475.627,13.028,-54.991,234.892,0.26
82.098,1.01E+04,77.28,0.428,560.526,1.049,560.527,NaN,4.67E+04,0,475.305,13.028,-54.74,236.314,0.259
82.598,1.01E+04,77.068,0.418,559.665,1.049,559.666,NaN,4.67E+04,0,474.97,13.028,-54.489,237.733,0.258
83.098,1.00E+04,76.859,0.412,558.799,1.049,558.8,NaN,4.67E+04,0,474.667,13.028,-54.239,239.148,0.257
83.598,9986.797,76.654,0.41,557.933,1.049,557.934,NaN,4.67E+04,0,474.394,13.028,-53.99,240.559,0.257
84.098,9948.53,76.452,0.401,557.058,1.049,557.059,NaN,4.67E+04,0,474.1,13.028,-53.741,241.966,0.256
84.598,9910.364,76.253,0.398,556.169,1.049,556.17,NaN,4.67E+04,0,473.84,13.028,-53.493,243.37,0.255
85.098,9872.298,76.057,0.387,555.267,1.049,555.268,NaN,4.67E+04,0,473.556,13.028,-53.245,244.771,0.254
85.598,9834.328,75.863,0.387,554.357,1.049,554.358,NaN,4.67E+04,0,473.491,13.028,-52.999,246.261,0.253
86.098,9796.456,75.671,0.384,553.442,1.049,553.443,NaN,4.67E+04,0,473.392,13.028,-52.752,247.747,0.253
86.598,9758.679,75.479,0.381,552.524,1.049,552.525,NaN,4.67E+04,0,473.287,13.028,-52.507,249.229,0.252
87.098,9720.999,75.289,0.379,551.604,1.049,551.605,NaN,4.67E+04,0,473.167,13.028,-52.262,250.708,0.251
87.598,9683.413,75.1,0.381,550.686,1.049,550.687,NaN,4.67E+04,0,473.06,13.028,-52.018,252.183,0.25
88.098,9645.921,74.912,0.372,549.763,1.048,549.764,NaN,4.67E+04,0,472.897,13.028,-51.774,253.654,0.25
88.598,9608.523,74.726,0.369,548.831,1.048,548.832,NaN,4.67E+04,0,472.75,13.028,-51.531,255.121,0.249
89.098,9571.218,74.542,0.366,547.899,1.048,547.9,NaN,4.67E+04,0,472.601,13.028,-51.288,256.585,0.248
89.598,9534.004,74.359,0.362,546.966,1.048,546.967,NaN,4.67E+04,0,472.442,13.028,-51.047,258.045,0.247
90.098,9496.882,74.178,0.359,546.032,1.047,546.033,NaN,4.67E+04,0,472.283,13.028,-50.805,259.502,0.247
90.598,9459.849,73.998,0.361,545.101,1.047,545.102,NaN,4.67E+04,0,472.133,13.028,-50.565,260.955,0.246
91.098,9422.906,73.82,0.354,544.179,1.047,544.18,NaN,4.67E+04,0,471.961,13.028,-50.324,262.404,0.245
91.598,9386.052,73.644,0.348,543.271,1.047,543.272,NaN,4.67E+04,0,471.793,13.028,-50.085,263.85,0.245
92.098,9349.284,73.47,0.347,542.366,1.046,542.367,NaN,4.67E+04,0,471.731,13.028,-49.846,265.353,0.244
92.598,9312.604,73.296,0.346,541.461,1.046,541.462,NaN,4.67E+04,0,471.716,13.028,-49.607,266.884,0.243
93.098,9276.01,73.124,0.348,540.555,1.046,540.556,NaN,4.67E+04,0,471.688,13.028,-49.37,268.412,0.243
93.598,9239.503,72.952,0.346,539.642,1.045,539.643,NaN,4.67E+04,0,471.623,13.028,-49.132,269.936,0.242
94.098,9203.082,72.78,0.346,538.719,1.045,538.72,NaN,4.67E+04,0,471.555,13.028,-48.896,271.456,0.241
94.598,9166.746,72.61,0.343,537.786,1.045,537.787,NaN,4.67E+04,0,471.462,13.028,-48.659,272.973,0.241
95.098,9130.496,72.44,0.338,536.841,1.044,536.842,NaN,4.67E+04,0,471.35,13.028,-48.424,274.486,0.24
95.598,9094.331,72.271,0.337,535.893,1.044,535.894,NaN,4.67E+04,0,471.249,13.028,-48.189,275.996,0.239
96.098,9058.249,72.104,0.333,534.942,1.043,534.943,NaN,4.67E+04,0,471.126,13.028,-47.954,277.502,0.238
96.598,9022.252,71.937,0.33,533.99,1.043,533.991,NaN,4.67E+04,0,471.004,13.028,-47.72,279.005,0.238
97.098,8986.337,71.772,0.328,533.043,1.043,533.044,NaN,4.67E+04,0,470.88,13.028,-47.487,280.505,0.237
97.598,8950.504,71.609,0.326,532.096,1.042,532.097,NaN,4.67E+04,0,470.754,13.028,-47.254,282.001,0.237
98.098,8914.752,71.447,0.323,531.142,1.042,531.143,NaN,4.67E+04,0,470.62,13.028,-47.021,283.493,0.236
98.598,8879.082,71.287,0.318,530.18,1.041,530.181,NaN,4.67E+04,0,470.477,13.028,-46.79,284.982,0.235
99.098,8843.491,71.128,0.319,529.212,1.041,529.213,NaN,4.67E+04,0,470.466,13.028,-46.558,286.546,0.235
99.598,8807.98,70.969,0.318,528.246,1.041,528.247,NaN,4.67E+04,0,470.46,13.028,-46.327,288.121,0.234
100.098,8772.548,70.81,0.317,527.284,1.04,527.285,NaN,4.67E+04,0,470.435,13.028,-46.097,289.694,0.233
100.598,8737.196,70.652,0.318,526.322,1.04,526.323,NaN,4.67E+04,0,470.392,13.028,-45.867,291.263,0.233
101.098,8701.922,70.493,0.317,525.364,1.039,525.365,NaN,4.67E+04,0,470.334,13.028,-45.638,292.828,0.232
101.598,8666.728,70.336,0.314,524.415,1.039,524.416,NaN,4.67E+04,0,470.258,13.028,-45.409,294.39,0.231
102.098,8631.612,70.179,0.312,523.474,1.038,523.475,NaN,4.67E+04,0,470.175,13.028,-45.181,295.948,0.231
102.598,8596.574,70.023,0.309,522.541,1.038,522.542,NaN,4.67E+04,0,470.081,13.028,-44.953,297.503,0.23
103.098,8561.613,69.869,0.307,521.611,1.038,521.612,NaN,4.67E+04,0,469.985,13.028,-44.726,299.054,0.23
103.598,8526.73,69.716,0.312,520.679,1.037,520.68,NaN,4.67E+04,0,469.903,13.028,-44.499,300.602,0.229
104.098,8491.923,69.564,0.31,519.735,1.037,519.736,NaN,4.67E+04,0,469.791,13.028,-44.273,302.147,0.228
104.598,8457.191,69.414,0.3,518.774,1.036,518.775,NaN,4.67E+04,0,469.647,13.028,-44.047,303.688,0.228
105.098,8422.535,69.265,0.298,517.805,1.036,517.807,NaN,4.67E+04,0,469.536,13.028,-43.822,305.226,0.227
105.598,8387.954,69.117,0.295,516.836,1.035,516.837,NaN,4.67E+04,0,469.415,13.028,-43.597,306.761,0.227
106.098,8353.446,68.97,0.293,515.861,1.035,515.862,NaN,4.67E+04,0,469.373,13.028,-43.373,308.346,0.226
106.598,8319.011,68.823,0.293,514.885,1.034,514.886,NaN,4.67E+04,0,469.383,13.028,-43.149,309.969,0.225
107.098,8284.65,68.677,0.294,513.912,1.034,513.913,NaN,4.67E+04,0,469.372,13.028,-42.926,311.589,0.225
107.598,8250.362,68.53,0.296,512.942,1.034,512.943,NaN,4.67E+04,0,469.349,13.028,-42.703,313.205,0.224
108.098,8216.147,68.383,0.303,511.981,1.033,511.982,NaN,4.67E+04,0,469.322,13.028,-42.48,314.817,0.224
108.598,8182.005,68.237,0.29,511.037,1.033,511.038,NaN,4.67E+04,0,469.235,13.028,-42.259,316.426,0.223
109.098,8147.936,68.092,0.293,510.106,1.032,510.107,NaN,4.67E+04,0,469.176,13.028,-42.037,318.032,0.223
109.598,8113.939,67.947,0.287,509.182,1.032,509.183,NaN,4.67E+04,0,469.089,13.028,-41.816,319.634,0.222
110.098,8080.013,67.804,0.285,508.268,1.031,508.269,NaN,4.67E+04,0,469.005,13.028,-41.596,321.233,0.221
110.598,8046.159,67.661,0.284,507.357,1.031,507.358,NaN,4.67E+04,0,468.919,13.028,-41.376,322.829,0.221
111.098,8012.376,67.521,0.281,506.446,1.03,506.447,NaN,4.67E+04,0,468.821,13.028,-41.156,324.421,0.22
111.598,7978.663,67.381,0.278,505.529,1.03,505.53,NaN,4.67E+04,0,468.718,13.028,-40.937,326.01,0.22
112.098,7945.02,67.242,0.277,504.612,1.03,504.613,NaN,4.67E+04,0,468.618,13.028,-40.718,327.596,0.219
112.598,7911.446,67.104,0.273,503.701,1.029,503.702,NaN,4.67E+04,0,468.512,13.028,-40.5,329.178,0.219
113.098,7877.94,66.967,0.279,502.793,1.029,502.794,NaN,4.67E+04,0,468.43,13.028,-40.282,330.757,0.218
